Este(m);Norte(m);Cota(m);Al(%);Fe(%);Campana
6649.97;1304.26;1266.27;0.16;38.99;CNEW
6649.97;1299.64;1258.25;0.12;34.74;CNEW
6649.97;1294.64;1249.59;0.17;37.62;CNEW
6649.97;1290.37;1242.2;0.16;37.61;CNEW
6649.97;1286.46;1235.43;0.15;40.25;CNEW
6649.58;1197.29;1369.97;2.92;64.17;CNEW
6649.58;1194.12;1364.47;2.92;64.17;CNEW
6649.58;1185.97;1350.35;1.14;58.01;CNEW
6649.58;1180.97;1341.69;2.03;56.22;CNEW
6649.58;1175.97;1333.03;3.13;49.39;CNEW
6649.58;1172.95;1327.81;1.83;47.77;CNEW
6649.58;1169.94;1322.59;1.01;47.79;CNEW
6649.58;1166.04;1315.84;1.93;45.1;CNEW
6649.58;1162.74;1310.12;1.58;40.15;CNEW
6649.58;1158.34;1302.5;0.65;36.37;CNEW
6649.58;1155.07;1296.83;0.65;36.37;CNEW
6649.58;1149.12;1286.52;0.4;29.96;CNEW
6649.58;1145.24;1279.81;0.5;31.97;CNEW
7049.96;1323.62;1375.68;1.05;57.05;CNEW
7050.04;1317.32;1364.77;0.45;52.19;CNEW
7050.18;1312.46;1356.03;0.65;55.39;CNEW
7050.29;1308.67;1349.19;1.05;52.72;CNEW
7050.45;1304.86;1342.36;1.69;43.89;CNEW
7050.52;1302.1;1337.86;1.69;43.89;CNEW
7050.5;1299.54;1333.83;1.29;57.96;CNEW
7050.21;1294.64;1326.26;3.45;37.65;CNEW
7049.69;1281.3;1305.71;0.18;67.82;CNEW
7049.59;1270.51;1288.55;0.15;66.64;CNEW
7049.63;1266.84;1282.68;0.27;46.22;CNEW
6999.92;1686.58;1408.44;2.48;63.27;CHIST
6999.78;1690.07;1402.14;4.48;54.65;CHIST
6999.53;1693.82;1395.19;1.23;55;CHIST
6999.31;1696.42;1390.27;1.3;53.52;CHIST
6999.1;1698.44;1386.45;1.7;57.08;CHIST
6998.41;1703.84;1376.01;1.63;54.61;CHIST
6997.74;1708.14;1367.48;1.7;46.51;CHIST
6996.91;1712.46;1358.5;1.16;49.12;CHIST
6996.15;1715.99;1351.09;0.79;52.82;CHIST
6995.32;1719.38;1343.61;1.45;50.62;CHIST
6994.17;1723.43;1334.54;1.85;49.83;CHIST
6993.27;1726.26;1327.87;1.89;50.7;CHIST
6992.48;1728.51;1322.53;1.38;53.15;CHIST
6991.46;1731.18;1315.98;2.96;42.42;CHIST
6990.24;1734.31;1308.06;1.09;43.88;CHIST
6989.16;1736.92;1301.24;1.09;43.9;CHIST
6988.36;1738.78;1296.24;3.07;44.92;CHIST
6984.7;1746.14;1275;2.78;41.79;CHIST
6983.4;1748.41;1267.87;0.71;35.97;CHIST
6982.12;1750.66;1260.77;0.72;33.47;CHIST
6699.44;1229.79;1366.09;3.38;61.67;CNEW
6699.42;1224.88;1357.9;1.4;66.58;CNEW
6699.4;1219.69;1349.35;0.92;65.81;CNEW
6699.43;1215.41;1342.51;1.1;64.67;CNEW
6699.46;1211.95;1337.04;1.2;52.26;CNEW
6699.44;1207.35;1330;1.23;44.38;CNEW
6699.35;1202.68;1323.2;1.16;43.91;CNEW
6699.03;1192.81;1309.37;1.25;32.28;CNEW
6698.84;1187.85;1302.68;1.78;33.8;CNEW
6698.54;1180.61;1293.21;1.48;32.52;CNEW
6698.22;1174.42;1285.36;0.68;33.05;CNEW
6697.85;1168.09;1277.64;0.59;34.03;CNEW
6697.39;1161.65;1270;0.74;33.95;CNEW
6697.1;1157.9;1265.68;0.75;33.94;CNEW
6696.12;1145.5;1251.75;1.73;30.59;CNEW
6695.59;1138.83;1244.32;1.17;29.94;CNEW
6695.07;1132.16;1236.89;1.68;31.48;CNEW
6694.6;1125.49;1229.46;1.06;32.84;CNEW
6694.27;1120.73;1224.16;1.67;34.84;CNEW
